customer_no,total_enq_amt,total_enq_count
1175,678000.0,11
1176,2984002.0,22
1177,1262100.0,27
1178,2942000.0,21
1179,808885.0,9
1180,3150905.0,26
1181,1816000.0,7
1182,262000.0,6
1183,388000.0,12
1184,754000.0,7
1185,310000.0,9
1186,183000.0,8
1187,835500.0,15
1188,1942000.0,19
1189,3864204.0,10
1190,107496500.0,68
1191,5600000.0,3
1192,4247451.0,29
1193,1164001.0,33
1194,1408241.0,25
1195,1328001.0,11
1196,652101.0,19
1197,247000.0,9
1198,863011.0,13
1199,14563152.0,16
1200,100978201.0,23
1201,211000.0,4
1202,6772986.0,41
1203,450990.0,10
1204,3805500.0,29
1205,834914.0,20
1206,2965301.0,32
1207,354000.0,8
1208,1809500.0,16
1209,542000.0,12
1210,913100.0,15
1211,64228.0,3
1212,4294200.0,23
1213,104155701.0,25
1214,621000.0,10
1215,720000.0,7
1216,1935100.0,20
1217,341200.0,10
1218,6846000.0,9
1219,902000.0,7
1220,2721100.0,16
1221,2925100.0,31
1222,511000.0,7
1223,101815100.0,25
1224,318600.0,6
1225,1056000.0,11
1226,301000.0,7
1227,3551150.0,41
1228,2000.0,2
1229,432000.0,23
1230,5500500.0,36
1231,193001.0,6
1232,5018203.0,32
1233,1988001.0,18
1234,11569505.0,20
1235,100701000.0,9
1236,720000.0,20
1237,122000.0,6
1238,280300.0,11
1239,353891515.0,76
1240,121000.0,3
1241,662000.0,9
1242,1105000.0,17
1243,957000.0,14
1244,1041000.0,8
1245,675000.0,12
1246,4253000.0,29
1247,100886000.0,12
1248,765001.0,23
1249,109300.0,4
1250,621000.0,10
1251,2777101.0,24
1252,101000.0,3
1253,30049502.0,31
1254,1250000.0,2
1255,14000.0,5
1256,5349091.0,45
1257,2387200.0,22
1258,7600990.0,43
1259,2099000.0,10
1260,970500.0,6
1261,669000.0,24
1262,428000.0,8
1263,3925002.0,10
1264,1050001.0,18
1265,251000.0,5
1266,929000.0,7
1267,659100.0,26
1268,6138100.0,25
1269,2201000.0,5
1270,1022900.0,14
1271,360000.0,6
1272,175100.0,6
1273,102047000.0,19
1274,683500.0,11
